date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-05-18,Chet Holmgren,PTS,15.5,FanDuel,20.6,0.81,0.546,94.0,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,1.91,1.0,Loss,-1.0,,A,support,0.9403,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Chet Holmgren OVER 15.5 PTS — FanDuel
2026-05-18,Chet Holmgren,REB,8.5,FanDuel,10.5,0.8,0.539,94.2,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,1.93,1.0,Loss,-1.0,,A,support,0.9417,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Chet Holmgren OVER 8.5 REB — FanDuel
2026-05-18,Jalen Williams,AST,4.5,DraftKings,6.0,0.76,0.529,57.7,OVER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,2.0,0.0,Loss,-0.0,,C,support,0.5771,C,false,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Jalen Williams OVER 4.5 AST — DraftKings
2026-05-18,Ajay Mitchell,AST,3.5,BetMGM,4.5,0.66,0.512,82.3,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,2.3,1.0,Win,1.3,,A,support,0.8227,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Ajay Mitchell OVER 3.5 AST — BetMGM
2026-05-18,Jalen Williams,PTS,15.5,FanDuel,19.6,0.75,0.476,56.6,OVER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,1.98,0.0,Win,0.0,,C,support,0.5660,C,false,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Jalen Williams OVER 15.5 PTS — FanDuel
2026-05-18,Stephon Castle,3PTM,1.5,BetMGM,2.1,0.66,0.452,63.0,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,2.2,0.0,Loss,-0.0,,C,support,0.6304,C,false,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Stephon Castle OVER 1.5 3PTM — BetMGM
2026-05-18,Victor Wembanyama,REB,12.5,DraftKings,9.5,0.72,0.448,94.0,UNDER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,2.01,1.0,Loss,-1.0,,A,support,0.9403,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Victor Wembanyama UNDER 12.5 REB — DraftKings
2026-05-18,De'Aaron Fox,PTS,15.5,FanDuel,18.6,0.74,0.428,94.0,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,1.93,1.0,Void,0,,A,support,0.9403,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — De'Aaron Fox OVER 15.5 PTS — FanDuel
2026-05-18,Victor Wembanyama,PTS,24.5,DraftKings,17.7,0.73,0.386,94.0,UNDER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,1.91,1.0,Loss,-1.0,,A,support,0.9403,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Victor Wembanyama UNDER 24.5 PTS — DraftKings
2026-05-18,Devin Vassell,REB,4.5,FanDuel,5.3,0.6,0.331,79.0,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,2.22,1.0,Win,1.22,,A,support,0.7901,A,true,NBA wager: San Antonio Spurs @ Oklahoma City Thunder — Devin Vassell OVER 4.5 REB — FanDuel
