date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-30,Philadelphia 76ers @ Miami Heat,SPREAD,76ers -2.0,-2.0,Philadelphia 76ers by 5.9,3.9,Caesars,1.91,0.0,Loss,-0.0,,0.4561,0.5439,-0.9,-1.79,,C,3.9,—,—,—,—
2026-03-30,Philadelphia 76ers @ Miami Heat,TOTAL,UNDER 246.5,246.5,237.0,9.5,Caesars,1.91,0.5,Win,0.45,,0.4561,0.5439,-0.9,-1.79,,B,9.5,—,—,—,—
2026-03-30,Boston Celtics @ Atlanta Hawks,SPREAD,Celtics +1.5,1.5,Boston Celtics by 2.9,4.4,BetUS,1.91,0.0,Loss,-0.0,,0.5987,0.4013,5.82,-7.95,,C,4.4,—,—,—,—
2026-03-30,Chicago Bulls @ San Antonio Spurs,SPREAD,Bulls +18.5,18.5,Chicago Bulls by 10.5,8.0,DraftKings,1.87,0.5,Win,0.44,,0.9663,0.0337,2.29,-4.32,,B,8.0,—,—,—,—
2026-03-30,Chicago Bulls @ San Antonio Spurs,TOTAL,OVER 244.5,244.5,247.5,3.0,DraftKings,1.95,0.0,Loss,-0.0,,0.9663,0.0337,2.29,-4.32,,C,3.0,—,—,—,—
2026-03-30,Phoenix Suns @ Memphis Grizzlies,SPREAD,Grizzlies +12.5,12.5,Memphis Grizzlies by 1.7,14.2,Caesars,1.91,1.0,Loss,-1.0,,0.7859,0.2141,63.66,-65.54,,A,14.2,—,—,—,—
2026-03-30,Phoenix Suns @ Memphis Grizzlies,TOTAL,OVER 229.5,229.5,235.1,5.6,Caesars,1.91,0.5,Win,0.45,,0.7859,0.2141,63.66,-65.54,,B,5.6,—,—,—,—
2026-03-30,Minnesota Timberwolves @ Dallas Mavericks,SPREAD,Mavericks +7.0,7.0,Dallas Mavericks by 1.3,5.7,FanDuel,1.88,0.5,Loss,-0.5,,0.6686,0.3314,36.46,-38.8,,B,5.7,—,—,—,—
2026-03-30,Minnesota Timberwolves @ Dallas Mavericks,TOTAL,OVER 236.0,236.0,246.9,10.9,FanDuel,1.94,1.0,Loss,-1.0,,0.6686,0.3314,36.46,-38.8,,A,10.9,—,—,—,—
2026-03-30,Cleveland Cavaliers @ Utah Jazz,SPREAD,Jazz +17.0,17.0,Utah Jazz by 1.3,15.7,Fanatics,1.91,1.0,Win,0.91,,0.6678,0.3322,58.15,-59.37,,A,15.7,—,—,—,—
2026-03-30,Cleveland Cavaliers @ Utah Jazz,TOTAL,UNDER 242.5,242.5,235.6,6.9,Fanatics,1.91,0.5,Win,0.45,,0.6678,0.3322,58.15,-59.37,,B,6.9,—,—,—,—
2026-03-30,Detroit Pistons @ Oklahoma City Thunder,SPREAD,Pistons +12.0,12.0,Detroit Pistons by 4.1,16.1,FanDuel,1.91,1.0,Win,0.91,,0.5404,0.4596,-32.92,29.76,,A,16.1,—,—,—,—
2026-03-30,Detroit Pistons @ Oklahoma City Thunder,TOTAL,OVER 218.0,218.0,232.3,14.3,FanDuel,1.89,1.0,Win,0.89,,0.5404,0.4596,-32.92,29.76,,A,14.3,—,—,—,—
2026-03-30,Washington Wizards @ Los Angeles Lakers,SPREAD,Wizards +16.0,16.0,Washington Wizards by 8.7,7.3,Bovada,1.95,0.5,Loss,-0.5,,0.947,0.053,1.24,-3.96,,B,7.3,—,—,—,—
2026-03-30,Washington Wizards @ Los Angeles Lakers,TOTAL,OVER 236.0,236.0,242.4,6.4,Bovada,1.91,0.5,Loss,-0.5,,0.947,0.053,1.24,-3.96,,B,6.4,—,—,—,—
