date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-05-07,Dean Wade,REB,3.5,BetMGM,4.2,0.78,0.676,63.0,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,2.15,0.0,Win,0.0,,C,support,0.6304,C,false,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Dean Wade OVER 3.5 REB — BetMGM
2026-05-07,Max Strus,REB,4.5,DraftKings,5.3,0.67,0.53,63.0,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,2.27,0.0,Loss,-0.0,,C,support,0.6304,C,false,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Max Strus OVER 4.5 REB — DraftKings
2026-05-07,Jaxson Hayes,REB,3.5,BetMGM,2.5,0.72,0.518,57.7,UNDER,Rotation,Los Angeles Lakers @ Oklahoma City Thunder,2.1,0.0,Win,0.0,,C,support,0.5771,C,false,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — Jaxson Hayes UNDER 3.5 REB — BetMGM
2026-05-07,Rui Hachimura,PTS,13.5,Bovada,15.9,0.72,0.506,56.6,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.1,0.0,Win,0.0,,C,support,0.5660,C,false,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — Rui Hachimura OVER 13.5 PTS — Bovada
2026-05-07,LeBron James,AST,7.5,BetMGM,9.3,0.76,0.476,57.7,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,1.95,0.0,Loss,-0.0,,C,support,0.5771,C,false,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — LeBron James OVER 7.5 AST — BetMGM
2026-05-07,Deandre Ayton,PTS,10.5,BetRivers,14.2,0.69,0.473,43.2,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.12,0.0,Loss,-0.0,,C,support,0.4321,PASS,false,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — Deandre Ayton OVER 10.5 PTS — BetRivers
2026-05-07,Dean Wade,PTS,4.5,FanDuel,6.1,0.76,0.472,76.0,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,1.93,1.0,Win,0.93,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Dean Wade OVER 4.5 PTS — FanDuel
2026-05-07,LeBron James,PTS,21.5,FanDuel,25.1,0.72,0.458,56.6,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.02,0.0,Win,0.0,,C,support,0.5660,C,false,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — LeBron James OVER 21.5 PTS — FanDuel
2026-05-07,Tobias Harris,REB,6.5,BetOnline.ag,7.8,0.73,0.446,76.0,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.98,1.0,Win,0.98,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Tobias Harris OVER 6.5 REB — BetOnline.ag
2026-05-07,Marcus Smart,AST,3.5,DraftKings,6.7,0.82,0.44,56.1,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,1.75,0.0,Win,0.0,,C,support,0.5612,C,false,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — Marcus Smart OVER 3.5 AST — DraftKings
