date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-10,Tyrese Maxey,PTS,28.5,Bovada,23.6,0.88,0.839,49.8,UNDER,Starter,Philadelphia 76ers @ Indiana Pacers,2.1,0.0,Loss,-0.0,,C,support,0.4981,PASS,false,NBA wager: Philadelphia 76ers @ Indiana Pacers — Tyrese Maxey UNDER 28.5 PTS — Bovada
2026-04-10,Daniss Jenkins,PTS,10.5,BetOnline.ag,17.0,0.87,0.728,94.2,OVER,Starter,Detroit Pistons @ Charlotte Hornets,1.99,1.0,Loss,-1.0,,A,support,0.9422,A,true,NBA wager: Detroit Pistons @ Charlotte Hornets — Daniss Jenkins OVER 10.5 PTS — BetOnline.ag
2026-04-10,Stephon Castle,AST,7.5,BetOnline.ag,10.4,0.87,0.687,75.2,OVER,Starter,Dallas Mavericks @ San Antonio Spurs,1.93,1.0,Void,0,,A,support,0.7524,A,true,NBA wager: Dallas Mavericks @ San Antonio Spurs — Stephon Castle OVER 7.5 AST — BetOnline.ag
2026-04-10,Dillon Brooks,REB,3.5,BetOnline.ag,5.0,0.83,0.632,51.3,OVER,Starter,Phoenix Suns @ Los Angeles Lakers,1.97,0.0,Loss,-0.0,,C,support,0.5127,PASS,false,NBA wager: Phoenix Suns @ Los Angeles Lakers — Dillon Brooks OVER 3.5 REB — BetOnline.ag
2026-04-10,LeBron James,PTS,24.5,Caesars,17.3,0.87,0.596,55.9,UNDER,Starter,Phoenix Suns @ Los Angeles Lakers,1.83,0.0,Loss,-0.0,,C,support,0.5589,C,false,NBA wager: Phoenix Suns @ Los Angeles Lakers — LeBron James UNDER 24.5 PTS — Caesars
2026-04-10,Jakob Poeltl,REB,6.5,Bovada,4.5,0.74,0.592,34.0,UNDER,Rotation,Toronto Raptors @ New York Knicks,2.15,0.0,Win,0.0,,C,support,0.3400,PASS,false,NBA wager: Toronto Raptors @ New York Knicks — Jakob Poeltl UNDER 6.5 REB — Bovada
2026-04-10,Max Strus,REB,4.5,Bovada,6.1,0.75,0.583,75.2,OVER,Rotation,Cleveland Cavaliers @ Atlanta Hawks,2.1,1.0,Loss,-1.0,,A,support,0.7524,A,true,NBA wager: Cleveland Cavaliers @ Atlanta Hawks — Max Strus OVER 4.5 REB — Bovada
2026-04-10,Devin Carter,AST,5.5,BetOnline.ag,3.8,0.9,0.567,49.2,UNDER,Starter,Golden State Warriors @ Sacramento Kings,1.74,0.0,Win,0.0,,C,support,0.4918,PASS,false,NBA wager: Golden State Warriors @ Sacramento Kings — Devin Carter UNDER 5.5 AST — BetOnline.ag
2026-04-10,Evan Mobley,AST,2.5,BetOnline.ag,3.9,0.91,0.563,74.6,OVER,Starter,Cleveland Cavaliers @ Atlanta Hawks,1.71,0.5,Loss,-0.5,,B,support,0.7457,B,true,NBA wager: Cleveland Cavaliers @ Atlanta Hawks — Evan Mobley OVER 2.5 AST — BetOnline.ag
2026-04-10,Derik Queen,PTS,14.5,BetOnline.ag,10.6,0.79,0.563,49.8,UNDER,Rotation,New Orleans Pelicans @ Boston Celtics,1.97,0.0,Loss,-0.0,,C,support,0.4981,PASS,false,NBA wager: New Orleans Pelicans @ Boston Celtics — Derik Queen UNDER 14.5 PTS — BetOnline.ag
